Banco,Dirección,Provincia,Localidad,Codigo Postal,Latitud,Longitud
BANCO CREDICOOP COOPERATIVO LIMITADO,CALLE 29 802,BUENOS AIRES,25 DE MAYO,B6660ACQ,-35.430904,-60.170774
BANCO CREDICOOP COOPERATIVO LIMITADO,CALLE 29 802,BUENOS AIRES,25 DE MAYO,B6660ACQ,-35.430904,-60.170774
BANCO DE LA NACION ARGENTINA,CALLE 9 900,BUENOS AIRES,25 DE MAYO,B6660BVR,-35.43182,-601.7114
BANCO DE LA PROVINCIA DE BUENOS AIRES,CALLE 9 901 Y CALLE 28,BUENOS AIRES,25 DE MAYO,B6660BVS,-35.431809,-60.170776
BANCO DE LA PROVINCIA DE BUENOS AIRES,LEANDRO N ALEM  Y HIPOLITO YRIGOYEN,BUENOS AIRES,30 DE AGOSTO,B6405BFF,-36.279102,-62.547104
HSBC BANK ARGENTINA S.A.,LOS ANDES 1381,BUENOS AIRES,9 DE ABRIL,B1832DGB,-34.775389,-58.418609
BANCO CREDICOOP COOPERATIVO LIMITADO,RUTA DE LA TRADICION 6005,BUENOS AIRES,9 DE ABRIL,B1839FRG,-34.755254,-58.484961
BANCO SANTANDER RIO S.A.,RUTA DE LA TRADICION 7732 PB DPTO: 1,BUENOS AIRES,9 DE ABRIL,B1839FSX,34.742106,58.4951
BANCO CREDICOOP COOPERATIVO LIMITADO,AV AVELLANEDA 1561,BUENOS AIRES,9 DE JULIO,B6500ATC,-35.452849,-60.882606
BANCO SANTANDER RIO S.A.,AV SAN MARTIN 1237 PB DPTO: 1,BUENOS AIRES,9 DE JULIO,B6500BWG,42.913111,71.317068
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BARTOLOME MITRE 1305,BUENOS AIRES,9 DE JULIO,B6500ABA,-35.445053,-60.885179
BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BARTOLOME MITRE 1305,BUENOS AIRES,9 DE JULIO,B6500ABA,-35.44513,-60.88519
BANCO SUPERVIELLE S.A.,AV. MITRE 1053,BUENOS AIRES,9 DE JULIO,B6500AAK,-34.877,-61.518474
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. MITRE 1088,BUENOS AIRES,9 DE JULIO,B6500AAX,-42.912811,-71.329122
BANCO MACRO S.A.,BARTOLOME MITRE 1162 PB,BUENOS AIRES,9 DE JULIO,B6500AAY,-42.912247,-71.329902
BBVA BANCO FRANCES S.A.,HIPOLITO YRIGOYEN 921,BUENOS AIRES,9 DE JULIO,B6500DJQ,-35.457642,-60.887272
BANCO DE LA NACION ARGENTINA,RIOJA 1199,BUENOS AIRES,9 DE JULIO,B6500ADL,-35.44543,-608.8324
BANCO CREDICOOP COOPERATIVO LIMITADO,SAN MARTIN 1293,BUENOS AIRES,9 DE JULIO,B6500EVV,-42.912694,-71.316487
BANCO ITAU ARGENTINA S.A.,RUTA NACIONAL N 2 KM 054 DPTO: OFICINA,BUENOS AIRES,ABASTO,B1933BWA,-35.003039,-58.120508
BANCO SANTANDER RIO S.A.,AV DEL LIBERTADOR 14998 PB DPTO: 1,BUENOS AIRES,ACASSUSO,B1641ANS,34.476037,58.499543
BANCO SANTANDER RIO S.A.,AV DEL LIBERTADOR 14998 PB DPTO: 1 Y PERU,BUENOS AIRES,ACASSUSO,B1641ANS,34.476037,58.499543
BANCO SANTANDER RIO S.A.,AV SANTA FE 900 PB DPTO: 1,BUENOS AIRES,ACASSUSO,B1641ABN,34.480985,58.506299
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. DEL LIBERTADOR 14806,BUENOS AIRES,ACASSUSO,B1641ANR,-34.477259,-58.497404
BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. LIBERTADOR 15301,BUENOS AIRES,ACASSUSO,B1642CKA,-34.474354,-58.502067
BANCO DE LA NACION ARGENTINA,BARTOLOME MITRE,BUENOS AIRES,ADOLFO GONZALES CHAVES (EST. CHAVES),B7513CQC,-38.0324,-600.982
